Unique Names	NameCopy	MatchedViaf	Length	Manual Viaf	Notes
Waldemar Eckertz	Eckertz, Waldemar 1878-	304826570			
Edm. Kesting	Edm. Kesting		12	http://viaf.org/viaf/8182460	
Edmund Palasovsky	Edmund Palasovsky				
Edmund Palasowsky	Edmund Palasowsky				
Eduard Pukl	Eduard Pukl				
Edvard Stephančič	Edvard Stephančič				
Hans Ehrenbaum-Degele	Ehrenbaum-Degele, Hans	25346059			
Albert Ehrenstein	Ehrenstein, Albert, 1886-1950	41868516			
Eine Dichtung	Eine Dichtung				
Carl Onno-Eisenbart	Eisenbart, Onno Carl 1865-	308203898			
Elek Turcsányi	Elek Turcsányi	121450638			
Paul Eluard	Éluard, Paul, 1895-1952	73848255			
Dr. med. Hermann Engels	Engels, H. (Hermann), 1939-	94348813			
Elisabeth Epstein	Epstein, Elisabeth, 1879-1956	35627706			
Erasmus	Erasmus				
Ernst Albrecht	Ernst Albrecht				
Ernst Collin	Ernst Collin				
Erster Hals	Erster Hals				
Erstes Bild	Erstes Bild				
Erwin Weber	Erwin Weber				
Essen / Ruhr	Essen / Ruhr				observe context
Hermann Essig	Essig, Hermann, 1878-1918	76532218			
F. A. Begeer	F. A. Begeer		12		
F. de Boeck	F. de Boeck		11		
F. PROS.	F. PROS.		8		
F.H.	F.H.				
Norbert Falk	Falk, Norbert, asi 1883-1949	230029518			
Paul Fechter	Fechter, Paul, 1880-1958	35247951			
Lyonel Feininger	Feininger, Lyonel, 1871-1956	49225327			
Felix Müller	Felix Müller				
Ferdinand Kiss	Ferdinand Kiss				
Fernant Berckelaers	Fernant Berckelaers				
Emil Filla	Filla, Emil	22183173			
Quintus Fixlein	Fischer, Joseph 1836-1896	72202897			
Fjodor Ssollogub	Fjodor Ssollogub				
Gustave Flaubert	Flaubert, Gustave, 1821-1880	9846192			
Luciano Folgore	Folgore, Luciano, 1888-1966	73872493			
Fr. Marc	Fr. Marc		8	http://viaf.org/viaf/44310294	
Fr. Rosenkranz	Fr. Rosenkranz		14		
Francesco Carrozza	Francesco Carrozza				
Franz Herczeg	Franz Herczeg				
Franz Hoffmann	Franz Hoffmann				
Franz Marc	Franz Marc			http://viaf.org/viaf/44310294	
Franz Mare	Franz Mare			http://viaf.org/viaf/44310294	
Franz Müller	Franz Müller				
Franz Richard Dehrens	Franz Richard Dehrens				
Franz Seiwert	Franz Seiwert				
Franz Ziller	Franz Ziller				
Franz Zorn	Franz Zorn				
Friedrich Mellinger	Frederic Mellinger	5929422			
Dr. Friedlaender	Friedlaender				
S. Friedlaender	Friedlaender, Salomo, 1871-1946	59135104	15		
S. Friedländer	Friedlaender, Salomo, 1871-1946	59135104	14		
Dr. S. Friedlaender	Friedlaender, Salomo, 1871-1946	59135104	15		
Friedrich Entelmann	Friedrich Entelmann				
Dr. med. Friedrich Lube	Friedrich Lube				No Viaf Results
Friedrich Rosenkranz	Friedrich Rosenkranz				
Fritz Baumann	Fritz Baumann				
Fritz Entelmann	Fritz Entelmann				
Fritz Hoeber	Fritz Hoeber				
Fritz Schwiefelt	Fritz Schwiefelt				
Fritzmann	Fritzmann				
Paul Fuhrmann	Fuhrmann, Paul, 1893-1952	54939858			
G. den Decker	G. den Decker		13		
Dr. phil. G. Räusch	G. Räusch		15		No Viaf Results
G.J. Vischer-Klamt	G.J. Vischer-Klamt		18		
Dr. med. Gebert	Gebert				
Georg Crocha	Georg Crocha				
Gertrud von Kunowski	Gertrud von Kunowski	269573023			
Géza Szilágyi	Géza Szilágyi				
